,date_crawled,car_name,price_EUR,ab_test,vehicle_type,registration_year,transmission,power_ps,model,odometer_km,registration_month,fuel_type,brand,unrepaired_damage,ad_created,postal_code,last_seen
1,4/2/2016 14:51,Astra_G_Cabrio_Turbo_235_PS,5200,test,cabrio,2002,manuell,235,astra,125000,5,Unknown,opel,nein,4/2/2016 0:00,47652,4/6/2016 13:17
2,3/19/2016 18:36,Fiat_Grande_Punto_1.2_8V__MIT_2_JAHREN_GARANTIE,3400,test,kleinwagen,2006,manuell,65,andere,125000,5,benzin,fiat,nein,3/19/2016 0:00,66538,4/7/2016 7:15
3,3/9/2016 20:59,Volvo_XC60_D5_AWD_Aut.,5200,test,suv,2009,automatik,220,xc_reihe,150000,3,diesel,volvo,ja,3/9/2016 0:00,72762,3/16/2016 5:46
4,3/26/2016 15:55,Kombi_Technisch_super_in_Schuss,750,test,kombi,2000,manuell,112,mondeo,150000,12,benzin,ford,Unknown,3/26/2016 0:00,39446,3/26/2016 15:55
5,3/29/2016 14:47,Audi_A4_1.9_TDI_quattro_Delphingrau,3522,test,limousine,2004,manuell,131,a4,150000,7,diesel,audi,nein,3/29/2016 0:00,51373,3/29/2016 14:47
6,3/23/2016 19:43,Ford_Mondeo_V6_170_PS,550,control,limousine,1999,automatik,170,mondeo,150000,6,benzin,ford,Unknown,3/23/2016 0:00,25451,3/26/2016 12:47
7,3/12/2016 13:46,BMW_320d_DPF_Touring,10400,control,kombi,2008,manuell,177,3er,125000,5,diesel,bmw,nein,3/12/2016 0:00,94107,4/6/2016 20:19
12,3/30/2016 18:37,BMW_318i_dunkelblau,2499,test,kombi,2000,manuell,118,3er,150000,1,benzin,bmw,nein,3/30/2016 0:00,4463,4/3/2016 8:47
13,3/26/2016 2:57,Cadillac_CTS_3.6_V6_Sport_Wagon_AWD___SPORT__LUXURY,14500,test,kombi,2011,automatik,311,Unknown,150000,7,benzin,sonstige_autos,nein,3/26/2016 0:00,22305,4/5/2016 19:47
14,3/22/2016 1:49,VW_passat,2100,test,limousine,1998,manuell,101,passat,150000,1,benzin,volkswagen,nein,3/21/2016 0:00,18273,3/29/2016 7:16
15,3/22/2016 14:50,Hyundai_i30_1.6_CRDi_Edition_20,7990,control,limousine,2012,manuell,90,i_reihe,60000,6,diesel,hyundai,nein,3/22/2016 0:00,66701,3/31/2016 11:46
16,4/4/2016 11:50,Mercedes_Benz_E_320_T_CDI_Avantgarde__Vollausstattung,3800,control,kombi,2000,automatik,197,e_klasse,150000,2,diesel,mercedes_benz,nein,4/4/2016 0:00,49832,4/6/2016 12:46
18,3/22/2016 11:59,BMW_120d_DPF_Bus._Navi__Harman&Kardon__Schiebedach,13999,control,limousine,2010,manuell,177,1er,70000,12,diesel,bmw,nein,3/22/2016 0:00,91220,4/6/2016 0:46
20,3/17/2016 17:42,Ford_Streetka_1.6l___95_PS,1350,control,cabrio,2004,manuell,95,ka,150000,7,benzin,ford,Unknown,3/17/2016 0:00,25436,3/17/2016 17:42
21,3/8/2016 0:53,Audi_TT_Coupe_1.8_T,3250,control,coupe,1999,manuell,179,tt,150000,4,benzin,audi,nein,3/8/2016 0:00,70599,4/5/2016 23:44
22,3/29/2016 19:51,Bmw_525..panoramadach..voll_leder.Tausch_moglich_mit_7_sitzer.,6950,control,kombi,2006,automatik,177,Unknown,150000,6,diesel,bmw,nein,3/29/2016 0:00,49497,4/6/2016 6:15
25,3/21/2016 14:39,Volkswagen_Golf_Plus_1.4_Comfortline,3750,control,bus,2005,manuell,75,golf,150000,5,benzin,volkswagen,nein,3/21/2016 0:00,44149,3/21/2016 14:39
